Rank,Username,Country,Followers,Views,Likes,Engagement,Brand Account,Gender,Age,Ethnicity,Famous,Genre,LGBTQ
1,@charlidamelio,U.S.A,78.9m,38.3m,6.1m,16.60%,0,Female,16,White,0,"Dancing, Lipsyncing, Lifestyle",0
2,@addisonre,U.S.A,53.7m,13.8m,2.8m,20.80%,0,Female,19,White,0,"Dancing, Lipsyncing",0
3,@zachking,U.S.A,47.3m,17.6m,2.8m,16%,0,Male,30,East Asian,1,"Comedy, Illusion",0
4,@lorengray,U.S.A,46.3m,3.2m,622.6k,19.70%,0,Female,18,White,1,"Dancing, Lipsyncing",0
5,@tiktok,U.S.A,45.3m,9.4m,503.0k,5.60%,1,,,,1,,
6,@riyaz.14,India,43.2m,3.0m,342.6k,11.70%,0,Male,17,South Asian,0,Acting,0
7,@spencerx,U.S.A,39.6m,2.8m,418.9k,15.10%,0,Male,28,East Asian,0,Singing,0
8,@justmaiko,U.S.A,36.4m,4.2m,793.4k,19.10%,0,Male,20,Southeast Asian,0,Dancing,0
9,@babyariel,U.S.A,34.5m,2.6m,524.0k,20.30%,0,Female,20,White,1,Singing,0
10,@willsmith,U.S.A,34.2m,18.8m,2.8m,15.10%,0,Male,52,Black,1,Comedy,0
11,@dixiedamelio,U.S.A,33.8m,13.2m,2.8m,21.60%,0,Female,19,White,0,"Dancing, Lipsyncing, Lifestyle, Promotion",0
12,@brentrivera,U.S.A,31.3m,9.0m,1.6m,18%,0,Male,22,White,1,"Comedy, Acting, Pranking, Promotion",0
13,@jasonderulo,U.S.A,30.5m,6.3m,1.0m,16%,0,Male,31,Black,1,"Promotion, Lifestyle, Food, Comedy",0
14,@_arishfakhan_,India,28.4m,2.2m,285.5k,13.20%,0,Female,17,South Asian,1,"Acting, Lipsyncing",0
15,@gilmhercroes,Aruba,28.3m,2.0m,177.3k,9%,0,Male,21,White,1,"Promotion, Lipsyncing, Dancing",0
16,@jannat_zubair29,India,28.1m,3.9m,436.2k,11.30%,0,Female,19,South Asian,1,Lipsyncing,0
17,@nishaguragain,India,28.0m,12.8m,553.0k,4.40%,0,Female,23,South Asian,1,"Lipsyncing, Acting",0
18,@therock,U.S.A,28.0m,30.9m,4.6m,15.10%,0,Male,48,Black,1,"Promotion, Fitness, Lifestyle",0
19,@itsjojosiwa,U.S.A,26.9m,4.5m,852.0k,19.20%,0,Female,17,White,1,"Comedy, Dancing, Lipsyncing",0
20,@flighthouse,U.S.A,26.2m,2.1m,473.9k,22.70%,1,,,,1,Media,
21,@awezdarbar,India,25.9m,1.5m,192.2k,12.90%,0,Male,27,South Asian,0,"Acting, Comedy",0
22,@stokestwins,U.S.A,25.3m,3.1m,702.6k,22.80%,0,Male,24,White,1,Comedy,0
23,@kristenhancher,U.S.A,24.5m,873.1k,154.4k,17.90%,0,Female,21,White,0,"Comedy, Dancing, Acting",0
24,@dobretwins,U.S.A,24.5m,3.9m,845.9k,21.90%,0,Male,21,White,1,Comedy,0
25,@sameeksha_sud,India,24.4m,1.3m,179.7k,14%,0,Female,27,South Asian,0,"Acting, Reacting, Dancing, Lipsyncing",0
26,@tiktok_india,India,24.2m,2.3m,153.2k,6.90%,1,,,,1,,
27,@cznburak,Turkey,23.8m,1.2m,144.2k,12.20%,0,Male,62,Middle Eastern,1,Food,0
28,@kimberly.loaiza,Mexico,23.8m,7.5m,1.4m,18.80%,0,Female,23,Latinx,1,"Dancing, Singing, Lipsyncing",0
29,@avani,U.S.A,23.7m,5.0m,1.3m,26.30%,0,Female,18,Black,0,"Makeup, Lipsyncing, Acting, Dancing",0
30,@jacobsartorius,U.S.A,23.7m,1.4m,239.8k,17.30%,0,Male,18,White,1,"Dancing, Singing, Pranking, Promotion",0
31,@lizzza,U.S.A,23.1m,4.5m,1.0m,22.80%,0,Female,24,South Asian,1,"Comedy, Dancing",0
32,@lilhuddy,U.S.A,23.0m,4.9m,1.0m,20.90%,0,Male,18,White,0,"Dancing, Lipsyncing",0
33,@jaydencroes,Aruba,23.0m,2.8m,404.2k,14.60%,0,Male,21,White,0,"Comedy, Acting",0
34,@piyanka_mongia,India,22.7m,617.5k,71.5k,11.90%,0,Female,23,South Asian,0,Lipsyncing,0
35,@savv.labrant,U.S.A,22.5m,11.6m,1.7m,14.80%,0,Female,27,White,0,"Family, Relationship",0
36,@avneetkaur_13,India,22.4m,949.0k,113.6k,12.20%,0,Female,19,South Asian,1,"Comedy, Lipsyncing",0
37,@joealbanese,U.S.A,21.9m,1.1m,215.0k,19.70%,0,Male,19,White,0,Dancing,0
38,@tonylopez,U.S.A,21.8m,10.4m,1.7m,16.70%,0,Male,20,Latinx,0,Dancing,0
39,@jamescharles,U.S.A,21.7m,10.6m,1.9m,18.20%,0,Male,21,White,1,"Dancing, Singing, Lipsyncing",1
40,@cutybeautykhan,India,21.4m,1.7m,192.7k,11.50%,0,Female,19,South Asian,0,"Dancing, Lipsyncing",0
41,@gima_ashi,India,21.3m,477.1k,46.5k,9.90%,0,Female,23,South Asian,0,"Dancing, Lipsyncing, Makeup",0
42,@jiffpom,U.S.A,21.2m,141.2k,38.5k,10.50%,1,,,,1,Pets,
43,@selenagomez,U.S.A,20.9m,10.5m,1.2m,11.50%,0,Female,28,Latinx,1,Promotion,0
44,@joshrichards,U.S.A,20.8m,4.5m,979.4k,22.20%,0,Male,18,White,0,"Dancing, Comedy, Lipsyncing",0
45,@kirakosarin,U.S.A,20.6m,1.4m,274.4k,19.90%,0,Female,23,White,1,"Fitness, Singing, Reacting",1
46,@daviddobrik,U.S.A,20.4m,8.3m,1.9m,23.10%,0,Male,24,White,1,"Comedy, Pranking, Dancing",0
47,@jasoncoffee,U.S.A,20.1m,4.8m,1.1m,23%,0,Male,40,White,0,Family ,0
48,@laurengodwin,U.S.A,19.8m,2.2m,498.2k,22.80%,0,Female,20,White,0,Comedy,0
49,@theshilpashetty,India,19.7m,8.3m,365.5k,4.50%,0,Female,45,South Asian,1,"Acting, Lipsyncing, Dancing, Family, Comedy",0
50,@oye_indori,India,19.1m,2.3m,252.5k,11.10%,0,Male,25,South Asian,0,"Pranking, Comedy",0
51,@kingbach,U.S.A,18.8m,440.1k,80.5k,18.40%,0,Male,32,Black,1,"Acting, Comedy",0
52,@mackenzieziegler,U.S.A,18.8m,2.4m,440.9k,18.50%,0,Female,16,White,1,Dancing,0
53,@marshmellomusic,U.S.A,18.4m,1.2m,177.9k,15.10%,0,Male,28,White,1,Promotion,0
54,@khushi.punjaban,India,18.4m,923.7k,63.3k,6.90%,0,Female,25,South Asian,0,"Family, Relationship, Lipsyncing",0
55,@daniellecohn,U.S.A,18.3m,1.3m,247.3k,19.30%,0,Female,16,White,0,Dancing,0
56,@ondreazlopez,U.S.A,18.2m,5.3m,1.2m,22.90%,0,Male,23,White,0,Dancing,0
57,@thehypehouse,U.S.A,18.1m,3.6m,924.8k,26%,0,,,,0,Content House,
58,@luckydancer5454,India,18.0m,1.3m,181.4k,14.10%,0,Male,20,South Asian,0,"Comedy, Lipsyncing, Reacting",0
59,@camerondallas,U.S.A,18.0m,1.2m,171.3k,14.30%,0,Male,26,White,1,"Reacting, Comedy, Relationship",0
60,@kodyantle,U.S.A,17.7m,4.0m,611.8k,15.40%,0,Male,30,White,0,"Family, Pets",0
61,@joeyklaasen,U.S.A,17.7m,1.9m,504.5k,26.70%,0,Male,21,White,0,"Dancing, Lipsyncing, Comedy",0
62,@arianagrande,U.S.A,17.5m,53.0m,7.4m,14.40%,0,Female,27,White,1,Promotion,0
63,@jordi.koalitic,Spain,17.3m,1.3m,272.7k,21.10%,0,Male,28,White,0,Photography,0
64,@nehakakkar,India,17.2m,3.4m,414.4k,12.40%,0,Female,32,South Asian,1,"Promotion, Lipsyncing",0
65,@imkevinhart,U.S.A,17.0m,11.0m,1.5m,13.80%,0,Male,41,Black,1,"Lipsyncing, Comedy",0
66,@topperguild,U.S.A,17.0m,1.0m,216.4k,21.80%,0,Male,18,White,0,"Lifestyle, Comedy, Pranking",0
67,@hollyh,U.K.,16.7m,421.2k,89.8k,21.60%,0,Female,24,White,0,"Dancing, Makeup, Art",0
68,@zoelaverne,U.S.A,16.7m,991.5k,213.6k,22.10%,0,Female,19,White,1,"Dancing, Makeup, Lipsyncing",0
69,@justinbieber,U.S.A,16.5m,32.8m,3.8m,11.80%,0,Male,26,White,1,"Promotion, Singing",0
70,@jashlem,Mexico,16.5m,2.8m,803.2k,28.90%,0,Male,24,Latinx,0,"Lifestyle, Comedy, Lipsyncing",0
71,@cashbaker,U.S.A,16.4m,451.8k,119.2k,26.90%,0,Male,17,White,0,"Comedy, Lipsyncing",0
72,@elrodcontreras,Mexico,16.4m,3.4m,726.5k,21.60%,0,Male,20,Latinx,0,"Lipsyncing, Dancing",0
73,@thesupercole,U.S.A,16.3m,9.9m,1.8m,18.40%,0,Male,24,White,1,"Family, Relationship, Comedy, Pranking",0
74,@surajpalsingh964,India,16.2m,238.7k,33.4k,14.10%,0,Male,27,South Asian,0,"Fitness, Dancing, Relationship, Pets",0
75,@bts_official_bighit,South Korea,16.1m,39.8m,6.8m,17.90%,1,Male,,East Asian,1,"Promotion, Dancing",0
76,@kylethomas,U.S.A,16.1m,410.1k,63.7k,15.90%,0,Male,16,White,0,"Food, Lipsyncing",0
77,@vishalpandey_21,India,16.1m,1.1m,137.2k,12.60%,0,Male,22,South Asian,0,"Lipsyncing, Comedy",0
78,@wigofellas,U.S.A,16.1m,2.4m,534.1k,22.50%,0,Male,26,White,0,Comedy,0
79,@ignaciaa_antonia,Chile,16.0m,887.6k,215.5k,24.40%,0,Female,19,Latinx,0,Lipsyncing,0
80,@aashikabhatia,India,16.0m,1.6m,115.9k,7.30%,0,Female,20,South Asian,0,"Lipsyncing, Dancing, Comedy",0
81,@abrazkhan91,India,15.9m,379.4k,54.4k,14.50%,0,Male,22,South Asian,0,"Lipsyncing, Lifestyle, Comedy",0
82,@jonklaasen,U.S.A,15.8m,1.6m,414.7k,26%,0,Male,22,White,1,"Comedy, Pranking ",0
83,@annieleblanc,U.S.A,15.8m,9.5m,1.6m,17.10%,0,Female,15,White,1,"Lipsyncing, Family",0
84,@thecardguy,U.S.A,15.6m,988.0k,216.7k,22.10%,0,Male,22,White,0,Illusion,0
85,@officialsalicerose,U.S.A,15.5m,2.2m,573.4k,26.60%,0,Female,25,Latinx,0,"Lipsyncing, Comedy",0
86,@hannahstocking,U.S.A,15.5m,2.5m,457.6k,18.40%,0,Female,28,Middle Eastern,1,"Dancing, Comedy, Lipsyncing",0
87,@sarahmagusara,Australia,15.1m,992.5k,233.1k,23.60%,0,Female,19,White,0,"Lifestyle, Lipsyncing",0
88,@briandadeyanara,Mexico,15.0m,1.4m,414.3k,29.70%,0,Female,25,Latinx,0,"Dancing, Comedy, Lipsyncing",0
89,@bhavin_333,India,14.7m,958.7k,135.0k,14.20%,0,Male,22,South Asian,1,"Comedy, Acting",0
90,@itstaylerholder,U.S.A,14.5m,3.3m,838.5k,25.70%,0,Male,23,White,0,Dancing,0
91,@nagmaa,India,14.5m,988.8k,106.7k,10.90%,0,Female,28,South Asian,0,"Dancing, Comedy, Lipsyncing",0
92,@junya1gou,Japan,14.4m,2.1m,197.2k,9.70%,0,Male,,East Asian,0,Comedy,0
93,@mohak.narang,India,14.3m,368.1k,56.4k,15.60%,0,Male,23,South Asian,0,"Lipsyncing, Comedy",0
94,@kyliejenner,U.S.A,14.3m,33.4m,3.6m,10.90%,0,Female,23,White,1,"Makeup, Dancing, Promotion, Family",0
95,@angelrai07,India,14.2m,257.2k,33.2k,13.10%,0,Female,21,South Asian,0,"Dancing, Lipsyncing, Acting",0
96,@skyandtami,Spain,14.2m,495.0k,155.3k,31.50%,0,,,Latinx,0,Relationship,0
97,@cainguzman,Mexico,14.1m,503.1k,142.4k,28.40%,0,Male,23,Latinx,0,Comedy,0
98,@domelipa,Ecuador,14.1m,5.4m,1.0m,18.70%,0,Female,19,Latinx,0,"Lipsyncing, Dancing",0
99,@vishnupriya__14,India,13.9m,369.2k,42.2k,11.60%,0,Female,20,South Asian,0,"Acting, Lipsyncing ",0
100,@twinmelody,Spain,13.9m,1.6m,366.0k,23%,0,Female,23,Latinx,0,Family,0
101,@seandoesmagic,U.S.A,13.9m,1.5m,296.4k,20%,0,Male,18,Southeast Asian,0,Illusion,0
102,@ayushyadav7100,India,13.9m,98.5k,12.4k,12.80%,0,Male,24,South Asian,0,"Acting, Dancing",0
103,@jacquelinef_143,India,13.6m,7.6m,798.3k,10.60%,0,Female,,South Asian,,"Acting, Lipsyncing",0
104,@rebeccazamolo,U.S.A,13.6m,2.3m,304.1k,13.70%,0,Female,36,White,1,"Acting, Comedy, Dancing",0
105,@deepakjoshi.102,India,13.5m,784.7k,104.3k,13.60%,0,Male,16,South Asian,0,Lipsyncing,1
106,@bhartifrozen,India,13.5m,2.0m,106.8k,5.40%,0,Female,34,South Asian,1,"Reacting, Comedy",0
107,@commandofitnessclub,India,13.3m,9.3m,652.7k,7.20%,1,,,South Asian,1,Fitness,
108,@lance210,U.S.A,13.2m,3.7m,764.5k,20.90%,0,Male,24,White,1,"Pranking, Comedy",0
109,@austinsprinz,U.S.A,13.2m,545.5k,74.2k,13.70%,0,Male,22,White,0,"Lifestyle, Comedy",0
110,@itsnastynaz,U.S.A,13.1m,831.1k,174.3k,21%,0,Male,23,Latinx,1,Comedy,0
111,@dina,Russia,13.1m,1.2m,195.9k,16.40%,0,Female,21,White,1,Lipsyncing,0
112,@.kunno,Mexico,13.0m,1.7m,381.4k,22.60%,0,Male,20,Latinx,0,"Dancing, Lipsyncing",1
113,@juliamenugarcia,Spain,13.0m,489.7k,109.9k,22.50%,0,Female,30,Latinx,1,"Comedy, Lipsyncing, Acting",0
114,@_saloniyaapa,India,12.9m,931.4k,113.7k,12.40%,0,Female,18,South Asian,0,"Acting, Lipsyncing",0
115,@camilo,U.S.A,12.9m,7.5m,1.1m,14.80%,0,Male,26,Latinx,1,"Lipsyncing, Dancing, Singing",0
116,@payton,U.S.A,12.9m,4.9m,854.8k,18.10%,0,Male,17,White,0,"Lipsyncing, Dancing, Comedy",0
117,@derkslurp,U.S.A,12.9m,3.3m,959.7k,29.40%,0,Male,19,White,0,Comedy,0
118,@brycehall,U.S.A,12.9m,5.1m,966.5k,19.40%,0,Male,21,White,0,"Comedy, Dancing ",0
119,@dameliofamilyofficial,U.S.A,12.9m,10.9m,2.3m,21.30%,0,,,White,0,Family,0
120,@larrayeeee,U.S.A,12.9m,7.5m,1.7m,23%,0,Male,22,Black,0,"Comedy, Dancing, Singing, Lipsyncing",1
121,@karolsevillaokay,Mexico,12.8m,2.7m,450.4k,16.80%,0,Female,20,Latinx,1,"Lipsyncing, Acting",0
122,@maverickbaker,U.S.A,12.8m,583.8k,126.9k,21.90%,0,Male,19,White,0,"Lipsyncing, Singing",0
123,@lelepons,U.S.A,12.7m,3.7m,746.6k,20.30%,0,Female,24,Latinx,1,"Comedy, Promotion, Dancing, Singing",0
124,@peytoncoffee,U.S.A,12.7m,1.6m,373.5k,23.50%,0,Female,16,White,0,"Comedy, Dancing",0
125,@krishhhhnna,India,12.7m,3.6m,402.9k,11.40%,0,Male,16,South Asian,0,"Comedy, Lipsyncing",0
126,@beingshadabkhan,India,12.6m,534.5k,72.6k,13.70%,0,Male,24,South Asian,0,"Comedy, Relationship, Lipsyncing",0
127,@alexwaarren,U.S.A,12.6m,6.2m,1.7m,27.60%,0,Male,20,White,0,"Comedy, Parkour",0
128,@cindy518c,South Korea,12.6m,712.8k,98.4k,14.10%,0,Female,,East Asian,0,Dancing,0
