id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6874793860422192389,1600662721,jasonderulo,[],Savage Love (Laxed - Siren Beat),16,1200000,8617,16900,10400000,39200000,869600000,575
6859481382935104773,1597097470,addisonre,[],Money Trees,15,3800000,96700,60000,29400000,67900000,4200000000,1261
6892391313094888706,1604759907,syabilazmn,"['stitch', 'TimBurton']",original sound - SyblazmnðŸš·,10,469800,1470,1192,5600000,22700,500900,56
6890500404191300870,1604319846,slowmotion563,[],Ouch,22,986900,16900,16500,19800000,305700,3500000,60
6892183436002381062,1604711536,5_minutes.ofcrap,[],original sound,24,66200,479,2610,748900,11700,70700,7
6892430747110542597,1604769117,finessed.by.jay,"['fyp', 'foryou', 'xyzbca', 'trending']",Ynw Melly,15,95900,17200,38400,714700,48100,129300,59
6891486405382507781,1604549262,lilnatural15,"['fyp', 'dontletthisflop']",original sound,11,86800,3292,4105,590200,24700,198200,127
6882207453346336005,1602388835,minke328,"['foot', 'fyp', 'foryou']",Love Story,28,1900000,112500,41100,21900000,801900,7200000,195
6861737179530480901,1597622691,charlidamelio,[],WAPï¼ˆfeat. Megan Thee Stallionï¼‰,10,6400000,107500,75600,51500000,97500000,7600000000,1642
6882752766352133378,1602515758,jellyyyyy_fruittttt,"['jellyfruit', 'fyp']",original sound,10,2000000,3499,15300,19700000,865200,8200000,74
6890267789731351813,1604265518,l.o.e_dee,"['stitch', 'fyp', 'goviral', 'foryoupage', 'fy', 'like']",original sound,9,3800000,97800,44800,17500000,108000,3900000,17
6885512429950749958,1603158330,blackhoodie900,"['stitch', 'TimeWarpScan', 'yee']",original sound,15,5600000,18600,13700,51700000,185000,5800000,140
6874508284473216258,1600596193,youneszarou,"['yzfamily', 'foryoupage', 'fÃ¼rdich', 'fyp']",Still Don't Know My Name,11,741100,3482,2710,6100000,17200000,293100000,584
6886093976542137605,1603293771,twistedpennywisetiktok,[],Yadiggg,8,2800000,28800,38700,17900000,7600000,91000000,368
6892515752335691014,1604788912,gabbymiamartino,"['payitforwardchallenge', 'payitforward', 'fyp', 'starbucks', 'wisconsin']",original sound,17,253600,233,1512,1600000,4233,254700,21
6888543043062942977,1603863913,billieeisking,"['parati', 'fyp', 'billieeilishh']",sonido original,59,974300,937,2044,4300000,58600,1400000,285
6870317809969253637,1599620528,miakhalifa,[],original sound,44,2700000,14400,25500,16800000,12700000,130900000,216
6891527682794802437,1604558952,gabbywax480,"['fountainpen', 'resin', 'woodturning', 'relaxing', 'fyp', 'viral']",original sound,49,1600000,1599,2939,10300000,78700,1700000,135
6892119552184962305,1604696634,kschwabs,"['lol', 'westcoastcrewðŸ‡¨ðŸ‡¦', 'FallFashion', 'FamilyImpression', 'borderheeler', 'puppy']",original sound,8,936100,26300,10000,5300000,36100,1300000,404
6870854022073502981,1599745393,foodies,[],original sound,6,410000,46800,6040,2700000,12200000,481600000,693
6882591107935472901,1602478183,jasonderulo,[],original sound,15,1300000,6579,7800,10800000,39200000,869600000,575
6884687827032984838,1602966340,jasonderulo,[],Amityville Horror - Scary Halloween Sound Effects,17,1300000,16900,28300,8500000,39200000,869600000,575
6875112198385962245,1600736825,addisonre,[],Basic or bad Tiktoshh,10,4700000,18500,37900,26600000,67900000,4200000000,1261
6861686046413884678,1597610784,addisonre,[],original sound,11,4800000,27900,82900,33900000,67900000,4200000000,1261
6870989331562040582,1599776880,charlidamelio,"['duet', 'charlirunsondunkin', 'ad']",The Charli,25,9000000,33800,60900,52100000,97500000,7600000000,1642
6865060887628287237,1598396553,jasonderulo,[],original sound,21,1100000,1796,3588,7300000,39200000,869600000,575
6860179258355043590,1597259957,jasonderulo,[],Tampa Curhat Beat,10,773100,1937,3550,7100000,39200000,869600000,575
6865993279553490181,1598613649,youneszarou,"['yzfamily', 'fÃ¼rdich', 'fyp', 'foryoupage']",original sound,13,533300,460,1418,5600000,17200000,293100000,584
6863612658365533446,1598059361,jasonderulo,[],original sound,20,2600000,16000,14700,16200000,39200000,869600000,575
6864722681795808518,1598317810,charlidamelio,[],WAP x 7 RINGS by Adamusic,15,9400000,83400,121400,52500000,97500000,7600000000,1642
6861699255313157381,1597613860,addisonre,[],WAP (feat. Megan Thee Stallion),10,6200000,116400,120400,62200000,67900000,4200000000,1261
6883597972379159813,1602712588,addisonre,[],original sound,18,4700000,41800,39600,34500000,67900000,4200000000,1261
6883685086697442565,1602732885,addisonre,[],original sound,18,6600000,92800,93700,44100000,67900000,4200000000,1261
6859887315880267014,1597191985,addisonre,[],ALL ABOUT CAKE Wavi Remix,15,3400000,38900,47500,22200000,67900000,4200000000,1261
6860870833607347462,1597420978,charlidamelio,[],The Race - Remix,10,6900000,153300,166000,51000000,97500000,7600000000,1642
6862797702799822086,1597869611,addisonre,['duet'],you thirsty or what,11,4900000,20600,94200,50500000,67900000,4200000000,1261
6859917836425481477,1597199092,addisonre,[],Honesty (Jersey Club Remix),14,3600000,51300,78400,27100000,67900000,4200000000,1261
6863114645532577030,1597943405,charlidamelio,[],It Won't Stop (feat. Chris Brown) - DWYR Radio Edit,15,7200000,58300,103600,50200000,97500000,7600000000,1642
6865176978849352966,1598423592,jasonderulo,[],Because of You,15,1300000,2984,4302,8400000,39200000,869600000,575
6879418823741590789,1601739562,charlidamelio,[],May I,12,5500000,80900,105200,37800000,97500000,7600000000,1642
6875148570757008646,1600745311,addisonre,[],original sound,13,2800000,20800,45500,19700000,67900000,4200000000,1261
6861102819454258437,1597474999,charlidamelio,[],Money trees,15,6500000,137300,180200,50600000,97500000,7600000000,1642
6862969125791206662,1597909533,charlidamelio,[],Crisis,15,5300000,51200,46900,45400000,97500000,7600000000,1642
6860644975424638213,1597368392,addisonre,[],Money trees,15,3600000,43900,39900,27600000,67900000,4200000000,1261
6860646208126405893,1597368681,addisonre,[],hi u should follow me,11,5300000,25500,48400,37500000,67900000,4200000000,1261
6862091204033563910,1597705118,addisonre,[],original sound,8,6200000,41600,100800,42800000,67900000,4200000000,1261
6876463021066046725,1601051369,addisonre,[],original sound,15,3200000,21500,49300,24100000,67900000,4200000000,1261
6880631025232366853,1602021787,addisonre,[],Viva La Swing ps. tugboat_spenny is OG spinner,15,6900000,22200,193900,53900000,67900000,4200000000,1261
6860865069425773829,1597419636,charlidamelio,[],original sound,15,5900000,89000,114400,41300000,97500000,7600000000,1642
6874767631136738565,1600656615,addisonre,[],Go Crazy,15,3500000,18200,43500,23100000,67900000,4200000000,1261
6874760068127051013,1600654842,addisonre,[],What You Know Bout Love,15,7000000,98700,77200,59800000,67900000,4200000000,1261
6887658887411928325,1603658084,nathan_fox_was_here,"['dinosaur', 'egg', 'experiment', 'science', 'scienceexperiments']",original sound,28,77400,152,445,2100000,399100,13000000,406
6892129130071067909,1604698899,lindsayfariadesign,"['storytime', 'notmysound', 'FamilyImpression', 'RedBullDanceYourStyle', 'FallFashion', 'UnwrapTheDeals', 'resin', 'art', 'fyp', 'art']",original sound,59,1500000,2154,1643,7700000,181100,8700000,60
6867769843647581445,1599027296,miakhalifa,[],original sound,12,214800,1252,1245,2500000,12700000,130900000,216
6890590805916912902,1604340737,sagequeen1111,"['duet', 'showlovecrew', 'ðŸ’¯realttsurporterðŸ’¯', 'staylit']",Tap In,11,45400,559,188,577000,36700,487300,221
6891421287613304070,1604534089,josievankomen,"['holidaytiktok', 'christmas', 'thegrinch', 'fypã‚·', 'nails', 'festive']",original sound,59,1400000,10600,21600,8200000,125400,1700000,20
6892162071329328386,1604706535,theresemarlen,"['foryou', 'foryoupage', 'fy', 'fyp', 'cat', 'kitten', 'lol']",original sound,9,419800,3843,1699,2700000,5268,427400,17
6868685809617243398,1599240544,addisonre,['itemcofounder'],thank you guys so much for using this sound,15,3800000,29900,49100,28100000,67900000,4200000000,1261
6868740485347855621,1599253275,addisonre,[],white tee,9,2700000,39500,113600,20800000,67900000,4200000000,1261
6864618116295429381,1598293460,charlidamelio,[],say it if they do not use the emoji,18,9400000,189900,137300,70600000,97500000,7600000000,1642
6882416889264344325,1602437600,addisonre,[],smack my blank like a drum,8,5700000,21100,60000,40900000,67900000,4200000000,1261
6886558212737322245,1603401823,charlidamelio,[],original sound,15,4000000,57900,71600,23900000,97500000,7600000000,1642
6889146075890961669,1604004354,justkristi677,"['duet', 'YouWantMore', 'MyPFP']",original sound,11,17600,275,346,139400,21900,178300,117
6885898562203290886,1603248241,arielle_sinclair,"['shuffle', 'scenic', 'happyfeet', 'footworkchallenge']",original sound,15,5410,28,158,86100,51400,220600,313
6881462815966727429,1602215473,foodies,['foodies'],original sound,59,929500,4809,12700,5600000,12200000,481600000,693
6882247396982574341,1602398183,jasonderulo,['icederulo'],original sound,14,9500000,30800,36800,68400000,39200000,869600000,575
6861311887313800454,1597523668,jasonderulo,[],Love Story,11,3800000,23100,31600,32000000,39200000,869600000,575
6861380481238224134,1597539640,jasonderulo,[],hahahahahaha,15,1700000,7903,11100,17900000,39200000,869600000,575
6859437817035083014,1597087326,jasonderulo,[],original sound,24,953300,3195,4085,6900000,39200000,869600000,575
